2007.10.04,10:30,237.62,237.89,236.23,237.7,0
2007.10.05,11:35,238.48,238.78,236.73,238.61,0
2007.10.08,13:27,238.86,239.79,238.51,238.85,0
2007.10.09,14:22,237.96,239.45,237.07,237.93,0
2007.10.10,14:50,239.41,240.45,237.85,239.43,0
2007.10.11,15:25,237.97,239.93,237.8,237.97,0
2007.10.12,16:10,239.3,239.47,237.46,239.32,0
2007.10.15,16:59,239.84,240.73,238.97,239.9,0
2007.10.16,17:42,237.52,240.1,236.72,237.51,0
2007.10.17,17:50,238.04,238.89,235.94,238.07,0
2007.10.18,18:12,236.11,238.18,236.01,236.1,0
2007.10.21,18:22,233.31,237.06,232.99,233.33,0
2007.10.22,18:32,233.03,234.53,230.36,233.02,0
2007.10.23,18:42,235.62,235.92,232.43,235.63,0
2007.10.24,19:06,234.02,235.77,232.89,234.0,0
2007.10.25,19:22,233.85,235.19,233.09,233.91,0
2007.10.28,20:21,234.67,235.44,233.79,234.67,0
2007.10.29,21:07,236.02,236.85,234.41,235.99,0
2007.10.30,21:31,237.39,237.79,235.33,237.39,0
2007.10.31,21:55,239.93,240.25,237.07,239.91,0
2007.11.01,22:22,238.65,241.43,237.74,238.65,0
2007.11.04,22:44,239.26,240.36,237.78,239.27,0
2007.11.05,23:53,238.88,239.75,237.16,238.8,0
2007.11.07,00:00,239.02,239.72,238.5,239.0,0
2007.11.08,00:00,236.79,239.08,235.23,236.74,0
2007.11.09,00:07,238.0,238.91,236.21,238.03,0
2007.11.12,00:10,229.01,238.14,228.49,229.05,0
2007.11.13,00:10,227.38,230.75,224.28,227.34,0
2007.11.14,00:12,230.72,231.04,226.71,230.73,0
2007.11.15,00:16,228.97,232.45,227.94,228.93,0
2007.11.16,00:18,225.08,229.56,224.32,225.08,0
2007.11.19,00:35,226.96,228.43,224.02,226.94,0
2007.11.20,00:37,226.28,227.21,224.37,226.26,0
2007.11.21,00:53,225.74,228.38,225.33,225.66,0
2007.11.22,00:57,225.29,225.85,222.47,225.27,0
2007.11.23,02:08,223.09,225.31,222.91,223.06,0
2007.11.26,02:33,223.61,224.53,221.31,223.75,0
2007.11.27,02:38,224.01,225.65,221.98,223.93,0
2007.11.28,02:44,224.02,225.84,222.47,224.1,0
2007.11.29,02:48,227.74,229.36,223.86,227.58,0
2007.11.30,02:54,227.46,228.0,225.83,227.56,0
2007.12.03,03:05,227.66,229.4,227.23,227.73,0
2007.12.04,03:30,227.72,228.55,226.61,227.77,0
2007.12.05,03:45,226.24,227.8,225.64,226.21,0
2007.12.06,03:53,224.22,226.24,223.79,224.19,0
2007.12.07,04:14,225.78,226.16,224.09,225.72,0
2007.12.10,04:54,227.74,228.01,225.57,227.77,0
2007.12.11,05:34,229.63,229.88,227.72,229.63,0
2007.12.12,05:43,227.22,229.75,224.88,227.11,0
2007.12.13,06:04,228.54,230.41,226.96,228.56,0
2007.12.14,06:19,228.87,230.13,228.01,228.94,0
2007.12.17,06:33,228.18,229.48,227.45,228.28,0
2007.12.18,06:44,228.56,229.19,227.88,228.61,0
2007.12.19,07:02,226.48,228.92,226.37,226.43,0
2007.12.20,07:33,225.01,227.44,224.77,224.99,0
2007.12.21,08:01,225.38,225.65,223.63,225.33,0
2007.12.24,09:38,225.97,226.59,225.2,225.95,0
2007.12.26,21:49,226.86,227.03,225.93,226.85,0
2007.12.27,22:29,226.46,228.44,226.24,226.42,0
2007.12.30,23:06,223.66,226.46,223.2,223.65,0
2008.01.02,02:13,221.65,224.96,221.02,221.65,0
2008.01.03,02:35,216.7,221.94,216.45,216.72,0
2008.01.04,02:42,215.04,217.19,213.62,215.04,0
2008.01.07,02:53,214.78,216.89,213.56,214.79,0
2008.01.08,03:05,216.83,216.89,214.36,216.77,0
2008.01.09,03:19,215.69,217.38,214.66,215.7,0
2008.01.10,03:27,214.75,215.76,213.86,214.81,0
2008.01.11,03:37,213.17,216.09,212.06,213.1,0
2008.01.14,04:19,211.46,214.14,211.35,211.48,0
2008.01.15,04:41,211.19,212.09,210.04,211.18,0
2008.01.16,04:41,208.05,212.19,207.61,208.02,0
2008.01.17,04:45,212.01,212.45,207.07,211.96,0
2008.01.18,04:49,209.65,212.45,209.48,209.57,0
2008.01.21,05:12,207.02,210.93,206.66,206.98,0
2008.01.22,05:54,207.57,208.13,204.8,207.6,0
2008.01.23,05:56,207.38,210.55,207.12,207.4,0
2008.01.24,05:57,207.82,209.26,204.68,207.78,0
2008.01.25,06:00,213.19,214.08,207.79,213.06,0
2008.01.28,06:08,211.03,213.89,209.45,211.0,0
2008.01.29,06:13,212.56,212.82,210.88,212.61,0
2008.01.30,06:25,212.99,213.5,211.82,212.98,0
2008.01.31,06:26,211.89,213.77,210.49,211.89,0
2008.02.01,06:41,212.04,212.64,210.04,212.14,0
2008.02.04,07:04,211.35,212.44,208.93,211.3,0
2008.02.05,07:32,211.53,212.17,210.41,211.63,0
2008.02.06,07:46,208.62,211.76,207.83,208.59,0
2008.02.07,08:06,206.47,209.51,206.25,206.47,0
2008.02.08,08:20,209.18,209.97,205.96,209.12,0
2008.02.11,08:53,208.08,209.6,206.86,208.11,0
2008.02.12,09:24,210.03,210.22,207.08,210.05,0
2008.02.13,09:39,212.37,212.51,209.43,212.39,0
2008.02.14,10:06,213.6,213.95,211.86,213.55,0
2008.02.15,10:36,211.53,213.64,210.38,211.59,0
2008.02.18,11:15,211.31,211.87,210.63,211.31,0
2008.02.19,12:22,209.95,211.53,208.84,209.96,0
2008.02.20,12:53,210.21,210.98,209.14,210.17,0
2008.02.21,13:10,210.7,212.01,209.74,210.54,0
2008.02.22,13:29,210.25,211.58,210.1,210.26,0
2008.02.25,14:02,212.42,212.81,210.09,212.41,0
2008.02.26,14:33,213.15,213.29,211.88,213.12,0
2008.02.27,14:39,210.92,213.57,210.92,210.94,0
2008.02.28,14:47,209.95,211.33,209.58,209.93,0
2008.02.29,14:52,206.73,210.03,206.03,206.77,0
2008.03.03,14:56,204.8,206.79,203.54,204.8,0
2008.03.04,15:12,205.15,205.76,203.75,205.15,0
2008.03.05,15:28,206.84,207.8,204.44,206.78,0
2008.03.06,15:42,206.28,207.68,205.93,206.31,0
2008.03.07,16:02,207.2,208.04,204.94,207.18,0
2008.03.10,16:32,204.48,207.17,204.38,204.44,0
2008.03.11,16:44,207.71,207.76,203.67,207.73,0
2008.03.12,16:56,206.42,208.04,206.03,206.43,0
2008.03.13,16:58,204.67,206.45,203.06,204.69,0
2008.03.16,17:02,199.75,205.22,199.71,199.75,0
2008.03.17,17:12,194.54,199.82,192.69,194.51,0
2008.03.18,17:16,200.34,200.59,193.5,200.35,0
2008.03.19,17:17,195.83,201.89,195.7,195.83,0
2008.03.20,17:37,197.49,198.4,195.18,197.5,0
2008.03.23,20:59,197.5,198.04,196.63,197.54,0
2008.03.24,21:15,200.4,200.55,197.17,200.39,0
2008.03.25,21:20,200.16,200.98,199.07,200.15,0
2008.03.26,21:34,198.17,201.09,197.64,198.15,0
2008.03.27,21:40,199.48,201.8,197.89,199.52,0
2008.03.30,21:51,199.36,200.54,196.91,199.31,0
2008.03.31,22:04,198.22,199.65,197.08,198.19,0
2008.04.01,22:20,201.23,201.76,197.08,201.24,0
2008.04.02,22:46,203.4,204.09,201.09,203.4,0
2008.04.03,23:11,204.54,204.74,202.73,204.6,0
2008.04.06,23:33,204.01,205.21,202.21,203.98,0
2008.04.07,23:48,203.78,204.5,203.24,203.73,0
2008.04.08,23:54,201.5,204.0,201.23,201.5,0
2008.04.10,00:04,199.91,202.66,199.59,199.94,0
2008.04.11,00:28,201.55,201.98,198.14,201.55,0
2008.04.14,00:46,198.94,201.91,198.51,198.96,0
2008.04.15,00:56,200.01,200.85,198.15,199.98,0
2008.04.16,01:08,199.67,200.07,198.56,199.7,0
2008.04.17,01:28,201.26,201.46,199.2,201.37,0
2008.04.18,01:53,203.91,204.47,200.74,203.94,0
2008.04.21,02:13,207.53,209.04,203.89,207.61,0
2008.04.22,02:22,203.84,207.84,203.5,203.85,0
2008.04.23,02:41,204.99,206.15,203.43,204.95,0
2008.04.24,03:06,205.28,206.13,204.18,205.29,0
2008.04.25,03:31,205.93,206.25,204.24,205.89,0
2008.04.28,04:15,207.03,207.9,205.76,207.03,0
2008.04.29,05:14,206.74,208.68,206.38,206.69,0
2008.04.30,05:33,205.08,206.81,203.55,205.07,0
2008.05.01,06:03,206.75,207.94,204.8,206.74,0
2008.05.02,06:23,208.08,208.14,204.89,208.03,0
2008.05.05,07:38,207.0,209.07,206.92,207.02,0
2008.05.06,08:47,206.16,207.72,205.75,206.19,0
2008.05.07,09:37,205.94,207.0,205.59,205.9,0
2008.05.08,09:51,203.53,205.97,202.45,203.57,0
2008.05.09,10:02,201.03,203.62,199.86,201.05,0
2008.05.12,10:29,202.84,203.8,200.24,202.81,0
2008.05.13,10:58,203.21,204.01,201.59,203.24,0
2008.05.14,11:24,204.73,205.04,202.92,204.72,0
2008.05.15,11:45,203.74,205.0,203.17,203.76,0
